cell_id,label,susceptibility_probability,susceptibility_category,susceptibility_alert,decision_threshold,model_name
311_595,1,0.9450576460056476,VERY_HIGH,1,0.45,RandomForest
312_430,1,0.9585106446626419,VERY_HIGH,1,0.45,RandomForest
312_903,0,0.0009250777341554095,LOW,0,0.45,RandomForest
313_1582,0,0.0030448468539245295,LOW,0,0.45,RandomForest
314_442,1,0.9882483268983269,VERY_HIGH,1,0.45,RandomForest
314_1575,0,0.002889125482449733,LOW,0,0.45,RandomForest
315_269,0,0.5998713565366959,HIGH,1,0.45,RandomForest
315_467,1,0.9062769900687551,VERY_HIGH,1,0.45,RandomForest
315_505,1,0.9940257936507938,VERY_HIGH,1,0.45,RandomForest
315_1482,0,0.0004622024055266562,LOW,0,0.45,RandomForest
316_50,0,0.5113534633188022,HIGH,1,0.45,RandomForest
316_298,0,0.528459966236175,HIGH,1,0.45,RandomForest
317_380,1,0.9251392544492547,VERY_HIGH,1,0.45,RandomForest
317_593,1,0.9103067787639222,VERY_HIGH,1,0.45,RandomForest
318_526,0,0.8061313212930866,VERY_HIGH,1,0.45,RandomForest
318_584,1,0.9722904761904761,VERY_HIGH,1,0.45,RandomForest
318_593,1,0.9038558551018308,VERY_HIGH,1,0.45,RandomForest
320_406,1,0.9989642857142857,VERY_HIGH,1,0.45,RandomForest
320_590,1,0.9929029761904761,VERY_HIGH,1,0.45,RandomForest
321_1016,0,6.220240552665621e-05,LOW,0,0.45,RandomForest
323_558,1,0.9872716265646498,VERY_HIGH,1,0.45,RandomForest
323_585,1,0.9961333333333333,VERY_HIGH,1,0.45,RandomForest
324_579,1,0.9897261904761906,VERY_HIGH,1,0.45,RandomForest
325_476,1,0.9517067039631149,VERY_HIGH,1,0.45,RandomForest
328_603,1,0.9131435193054439,VERY_HIGH,1,0.45,RandomForest
328_1011,0,0.007559893603217853,LOW,0,0.45,RandomForest
330_410,1,0.6611975117905355,HIGH,1,0.45,RandomForest
330_497,1,0.9918833333333332,VERY_HIGH,1,0.45,RandomForest
331_361,1,0.9970557823129252,VERY_HIGH,1,0.45,RandomForest
331_600,1,0.9120028266134597,VERY_HIGH,1,0.45,RandomForest
331_1374,0,0.04756046176046176,LOW,0,0.45,RandomForest
332_495,1,0.8469123967083725,VERY_HIGH,1,0.45,RandomForest
332_535,1,0.8859106060606062,VERY_HIGH,1,0.45,RandomForest
333_646,0,0.050401919370779646,LOW,0,0.45,RandomForest
334_359,1,0.9868896222318715,VERY_HIGH,1,0.45,RandomForest
334_406,1,0.9578325863678805,VERY_HIGH,1,0.45,RandomForest
334_536,1,0.9778497831303066,VERY_HIGH,1,0.45,RandomForest
334_764,0,0.002155131698455949,LOW,0,0.45,RandomForest
335_896,0,0.0032932269365511875,LOW,0,0.45,RandomForest
336_399,1,0.8654599343185548,VERY_HIGH,1,0.45,RandomForest
337_398,1,0.9214503603308836,VERY_HIGH,1,0.45,RandomForest
337_820,0,0.0010622024055266562,LOW,0,0.45,RandomForest
338_294,0,0.616845311013591,HIGH,1,0.45,RandomForest
338_466,1,0.9398256235827663,VERY_HIGH,1,0.45,RandomForest
338_513,1,0.8762137821988886,VERY_HIGH,1,0.45,RandomForest
