hotspot_id,event_count,latitude,longitude,hotspot_score,hotspot_category
641_3016,1,3016270.732921101,641605.4522412571,12.5,LOW
641_3017,2,3017241.317535911,641570.9824442493,25.0,MODERATE
641_3020,1,3020818.886859279,641817.3672725719,12.5,LOW
642_2996,1,2996411.6525369585,642256.1905605829,12.5,LOW
642_2997,1,2997927.1024427074,642099.7817029449,12.5,LOW
642_2999,1,2999090.729189449,642123.6990772825,12.5,LOW
642_3001,2,3001526.614783958,642920.6470989953,25.0,MODERATE
642_3003,1,3003952.1166443354,642539.0062366454,12.5,LOW
642_3004,1,3004394.224008551,642985.486980582,12.5,LOW
642_3005,1,3005617.861638441,642338.2615605919,12.5,LOW
642_3009,1,3009963.0890740324,642828.8777284987,12.5,LOW
642_3010,1,3010142.349637602,642895.3672793885,12.5,LOW
642_3018,1,3018253.117915397,642173.9940576511,12.5,LOW
643_2996,2,2996613.970384863,643263.4581680598,25.0,MODERATE
643_2998,1,2998995.313203398,643196.2386234709,12.5,LOW
643_2999,1,2999080.812292292,643674.4631949863,12.5,LOW
643_3001,1,3001079.275366905,643224.5312164621,12.5,LOW
643_3004,1,3004891.1302076564,643109.1077049586,12.5,LOW
643_3005,1,3005534.4276589467,643109.9284296283,12.5,LOW
643_3006,1,3006583.2410979937,643849.3767984037,12.5,LOW
643_3010,1,3010194.165591301,643276.4659011455,12.5,LOW
643_3023,1,3023922.310764003,643499.6845042754,12.5,LOW
643_3027,1,3027912.744324079,643381.8409487552,12.5,LOW
644_2997,1,2997603.7947455198,644490.2633193857,12.5,LOW
644_2998,1,2998571.4401131757,644600.3188318274,12.5,LOW
644_3005,2,3005409.850487835,644709.4480762566,25.0,MODERATE
644_3006,1,3006062.7117697503,644879.382506504,12.5,LOW
644_3015,1,3015081.8747598436,644540.6954237267,12.5,LOW
644_3028,1,3028234.8173484,644073.2081737197,12.5,LOW
645_3004,1,3004848.6605493724,645284.5136264146,12.5,LOW
646_3013,2,3013875.5771736004,646753.4804898734,25.0,MODERATE
647_3004,2,3004648.448099561,647878.7923334627,25.0,MODERATE
647_3005,3,3005418.199209122,647454.8826897121,37.5,MODERATE
647_3006,1,3006029.1424226114,647255.3810637404,12.5,LOW
647_3009,1,3009179.0904711033,647630.8875846579,12.5,LOW
647_3012,3,3012353.716044637,647839.8128113368,37.5,MODERATE
647_3013,3,3013931.728424786,647162.5952201998,37.5,MODERATE
647_3023,1,3023955.595064259,647627.9320281808,12.5,LOW
647_3046,1,3046624.6171762017,647921.0512684002,12.5,LOW
648_3004,2,3004364.9821286914,648368.115427425,25.0,MODERATE
648_3005,1,3005653.4411278595,648272.9638448624,12.5,LOW
648_3008,1,3008206.970533864,648702.0411614474,12.5,LOW
648_3013,1,3013177.2511427966,648672.786894534,12.5,LOW
649_3004,2,3004792.4090671926,649875.8437486362,25.0,MODERATE
649_3005,5,3005203.218763626,649641.5563073128,62.5,HIGH
649_3007,2,3007411.6646476695,649497.4462519512,25.0,MODERATE
649_3013,6,3013511.09449836,649394.2742578144,75.0,VERY_HIGH
649_3022,1,3022233.2131695827,649014.922576614,12.5,LOW
649_3024,1,3024119.796892159,649285.4616355236,12.5,LOW
649_3032,1,3032906.1654520263,649929.6888282462,12.5,LOW
649_3033,1,3033871.6570352213,649851.9667048322,12.5,LOW
649_3034,1,3034530.944085413,649651.7213650132,12.5,LOW
649_3035,3,3035618.0980879324,649707.1620742838,37.5,MODERATE
649_3036,1,3036198.606922177,649601.1630509235,12.5,LOW
650_3004,4,3004843.101559924,650634.3754349241,50.0,HIGH
650_3007,2,3007292.9292096063,650496.6749423768,25.0,MODERATE
650_3014,2,3014500.2667865087,650926.4209847577,25.0,MODERATE
650_3031,2,3031247.9329115367,650121.6348267067,25.0,MODERATE
650_3035,3,3035856.7059026863,650924.4543477581,37.5,MODERATE
650_3037,1,3037009.0296630827,650181.7445372979,12.5,LOW
650_3038,2,3038494.9574900838,650536.5983210986,25.0,MODERATE
651_3007,2,3007183.533303129,651877.7144303259,25.0,MODERATE
651_3015,2,3015176.0775253205,651699.4285618127,25.0,MODERATE
651_3016,1,3016823.600446848,651902.0792517876,12.5,LOW
651_3040,5,3040670.4272150532,651130.6450526507,62.5,HIGH
651_3041,1,3041204.2617138475,651417.3452948481,12.5,LOW
651_3042,1,3042979.457277354,651870.6760096997,12.5,LOW
651_3043,1,3043767.268529602,651957.7344548441,12.5,LOW
652_3015,2,3015624.573546112,652755.6924711901,25.0,MODERATE
