incident_id,cell_count,max_risk_score,mean_risk_score,max_alert_priority,highest_decision_state,active_alert_cells,latitude,longitude,affected_cells,incident_category
RISK_ZONE_CLUSTER_71,7,78.61839389550491,75.21366172572972,58.004454708367945,CRITICAL,0,3013464.7901378046,649296.000872824,"604_485,608_488,609_488,610_488,611_489,612_489,616_490",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_72,8,76.9764244203158,73.62055403647501,57.36839683867517,CRITICAL,0,3005088.0044235187,649771.000872824,"609_405,613_406,614_407,616_401,616_402,616_405,616_406,618_403",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_73,2,78.3976747767028,78.11363000646975,57.11722690071265,CRITICAL,0,3007450.5044235187,649496.000872824,"611_429,613_427",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_74,4,81.68425871614076,78.76834801188184,59.209719146705126,CRITICAL,0,3035775.5044235187,649696.000872824,"613_715,614_707,614_713,615_710",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_75,2,78.66876992468896,77.64575953012195,57.83782346039962,CRITICAL,0,3031250.5044235187,650096.000872824,"617_665,619_667",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_76,2,82.50103600750835,79.1271149957195,59.6608990370524,CRITICAL,0,3007300.5044235187,650496.000872824,"621_427,623_426",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_77,2,80.2237771868779,80.01110488266843,58.978849909003046,CRITICAL,0,3004800.5044235187,650846.000872824,"625_402,626_401",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_78,2,80.58995487956385,78.19856967334755,59.105872354440265,CRITICAL,0,3014500.5044235187,650896.000872824,"626_498,626_499",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_79,3,78.01876138311144,71.00948887160328,57.14165676939028,CRITICAL,0,3035850.5044235187,650929.3342061572,"626_711,626_712,627_713",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_8,2,73.2819528670738,71.40425976399811,55.47244213680423,WATCH,0,3000400.5044235187,614296.000872824,"260_357,260_358",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_80,6,80.39832170870115,73.04859498457309,58.38884937721093,CRITICAL,0,3040767.1710901856,651162.6675394906,"627_758,627_762,628_762,629_760,630_759,631_766",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_81,2,78.01069142526237,72.8283066420116,57.08197273772786,CRITICAL,0,3015200.5044235187,651696.000872824,"633_506,635_505",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_82,2,78.58555081084967,77.41244841214271,57.923620237039685,CRITICAL,0,3044650.5044235187,652246.000872824,"638_800,641_800",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_83,2,75.49153082703195,73.97316310071895,55.48066815163008,CRITICAL,0,3070150.5044235187,652146.000872824,"638_1057,639_1053",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_84,5,82.3144561557896,71.47512821656404,59.065049695369794,CRITICAL,0,3028850.5044235187,652636.000872824,"642_642,642_646,643_643,645_637,645_642",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_85,2,80.23085653432115,79.41694248955528,58.91272680124994,CRITICAL,0,3015600.5044235187,652746.000872824,"644_509,645_510",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_86,4,77.17190481965403,72.25727974473361,56.11081593414067,CRITICAL,0,3067775.5044235187,652921.000872824,"645_1029,645_1032,647_1034,648_1030",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_87,3,79.48898778831631,79.1923296056875,58.66977340479423,CRITICAL,0,3015983.837756852,653529.3342061572,"650_513,652_515,655_512",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_88,4,77.54284893462074,75.89330579698651,57.05250134951592,CRITICAL,0,3065225.5044235187,654146.000872824,"656_1008,657_1007,660_1004,661_1004",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_89,4,76.11051015499692,69.91038931893722,56.247144526208736,CRITICAL,0,3022325.5044235187,654246.000872824,"658_575,659_576,660_577,661_579",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_9,2,72.20697254224348,71.55086540421514,54.98678856030729,WATCH,0,3005950.5044235187,614946.000872824,"266_413,267_413",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_90,2,64.23848539665852,56.493083284700944,47.53188050407549,WATCH,0,3016550.5044235187,654496.000872824,"660_520,664_518",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_91,4,71.71313513237355,65.1322233647226,53.76704288149745,WATCH,0,3044425.5044235187,654571.000872824,"661_798,662_798,663_798,665_797",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_92,2,73.05577146414518,69.40390180107133,54.81315162353548,WATCH,0,3008250.5044235187,654746.000872824,"664_436,665_436",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_93,7,80.6822060670405,74.13844955342331,58.84233962929881,CRITICAL,0,3048264.7901378046,656281.7151585383,"674_841,678_841,679_840,681_836,682_830,682_832,683_833",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_94,3,82.79744409518679,76.27179724070194,59.83358833480392,CRITICAL,0,3011017.1710901856,657262.6675394906,"689_462,690_463,690_466",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_95,2,82.48748338898677,79.01125893340338,59.96258087166508,CRITICAL,0,3010050.5044235187,657546.000872824,"691_453,694_455",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_96,5,80.35900855117681,78.21406111787368,58.68234926201403,CRITICAL,0,3045990.5044235187,658076.000872824,"695_815,697_813,698_814,699_813,700_812",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_97,2,81.01012578407418,77.90478089695654,59.22798661612107,CRITICAL,0,3008500.5044235187,658146.000872824,"698_438,699_439",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_98,3,81.55222945797948,75.22883116995676,58.906493878418985,CRITICAL,0,3013717.1710901856,658529.3342061572,"700_491,703_492,704_489",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_99,4,80.21605561241363,75.693297072704,58.538365206788455,CRITICAL,0,3046400.5044235187,658821.000872824,"703_817,705_813,706_819,707_821",CRITICAL_RISK_ZONE
RISK_ZONE_ISOLATED_0,1,57.39934535637536,57.39934535637536,33.830280104507665,WATCH,0,2986450.5044235187,594496.000872824,62_218,MONITORING_RISK_ZONE
RISK_ZONE_ISOLATED_1,1,55.06894505286149,55.06894505286149,32.781599967926425,WATCH,0,2973950.5044235187,597596.000872824,93_93,MONITORING_RISK_ZONE
RISK_ZONE_ISOLATED_10,1,61.19456894918051,61.19456894918051,35.53813072126998,WATCH,0,3014450.5044235187,610596.000872824,223_498,MONITORING_RISK_ZONE
RISK_ZONE_ISOLATED_100,1,66.86740680171937,66.86740680171937,38.09090775491247,WATCH,0,2998350.5044235187,634996.000872824,467_337,MONITORING_RISK_ZONE
RISK_ZONE_ISOLATED_101,1,61.64023669655069,61.64023669655069,35.738681207586566,WATCH,0,2999050.5044235187,635096.000872824,468_344,MONITORING_RISK_ZONE
RISK_ZONE_ISOLATED_102,1,65.55059771069436,65.55059771069436,37.49834366395122,WARNING,0,3005950.5044235187,635096.000872824,468_413,HIGH_PRIORITY_RISK_ZONE
RISK_ZONE_ISOLATED_103,1,62.915053425732594,62.915053425732594,36.31234873571842,WATCH,0,3021150.5044235187,635396.000872824,471_565,MONITORING_RISK_ZONE
RISK_ZONE_ISOLATED_104,1,68.14378347512901,68.14378347512901,50.1881852416298,WATCH,0,3006750.5044235187,635696.000872824,474_421,MONITORING_RISK_ZONE
