incident_id,cell_count,max_risk_score,mean_risk_score,max_alert_priority,highest_decision_state,active_alert_cells,latitude,longitude,affected_cells,incident_category,risk_component,mean_risk_component,priority_component,size_component,priority_score,priority_level,priority_rank,priority_recommendation
RISK_ZONE_CLUSTER_23,3,82.02844343111957,79.77568600145399,59.783939219341065,CRITICAL,0,3013550.5044235187,622262.6675394906,"339_490,339_491,341_486",CRITICAL_RISK_ZONE,92.94923072036202,90.9674931644475,97.22435637554506,28.57142857142857,87.18388440808154,P1_CRITICAL,21,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_74,4,81.68425871614076,78.76834801188184,59.209719146705126,CRITICAL,0,3035775.5044235187,649696.000872824,"613_715,614_707,614_713,615_710",CRITICAL_RISK_ZONE,91.95019326341118,87.88937024553148,95.31770207938789,42.857142857142854,87.0706008232026,P1_CRITICAL,22,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_27,5,80.95572727096128,77.87793846311794,59.28198555491159,CRITICAL,0,3011470.5044235187,626616.000872824,"379_464,381_468,384_469,386_469,386_471",CRITICAL_RISK_ZONE,89.83554327860394,85.16854558921534,95.55765721896043,57.14285714285714,87.06340361224066,P1_CRITICAL,23,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_93,7,80.6822060670405,74.13844955342331,58.84233962929881,CRITICAL,0,3048264.7901378046,656281.7151585383,"674_841,678_841,679_840,681_836,682_830,682_832,683_833",CRITICAL_RISK_ZONE,89.04161514613597,73.74178849564808,94.09784619387793,85.71428571428571,86.91297463478885,P1_CRITICAL,24,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_57,3,81.80040400980056,79.2383135694458,59.41160702584821,CRITICAL,0,3005117.1710901856,639996.000872824,"515_405,517_406,519_403",CRITICAL_RISK_ZONE,92.28731892229419,89.32544410436924,95.98805550389152,28.57142857142857,86.24853906902197,P1_CRITICAL,25,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_113,2,82.59917428254442,80.78535894837633,58.67073398809136,CRITICAL,0,3048850.5044235187,663296.000872824,"750_841,750_843",CRITICAL_RISK_ZONE,94.60584553675785,94.05275101305813,93.52804264878235,14.285714285714285,86.19376278491967,P1_CRITICAL,26,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_94,3,82.79744409518679,76.27179724070194,59.83358833480392,CRITICAL,0,3011017.1710901856,657262.6675394906,"689_462,690_463,690_466",CRITICAL_RISK_ZONE,95.18134747159694,80.26065949843628,97.38921250616256,28.57142857142857,86.08818424558937,P1_CRITICAL,27,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_109,3,81.77841253554679,78.85947655735667,59.4793615974914,CRITICAL,0,3048383.837756852,662329.3342061572,"738_836,741_837,742_839",CRITICAL_RISK_ZONE,92.22348602804603,88.16783176221934,96.21302943159618,28.57142857142857,86.04453528010649,P1_CRITICAL,28,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_95,2,82.48748338898677,79.01125893340338,59.96258087166508,CRITICAL,0,3010050.5044235187,657546.000872824,"691_453,694_455",CRITICAL_RISK_ZONE,94.28164930895247,88.63163320248404,97.8175224630917,14.285714285714285,86.03602087386977,P1_CRITICAL,29,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_96,5,80.35900855117681,78.21406111787368,58.68234926201403,CRITICAL,0,3045990.5044235187,658076.000872824,"695_815,697_813,698_814,699_813,700_812",CRITICAL_RISK_ZONE,88.10349555427332,86.19563566015567,93.56661028683799,57.14285714285714,85.99163841744932,P1_CRITICAL,30,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_76,2,82.50103600750835,79.1271149957195,59.6608990370524,CRITICAL,0,3007300.5044235187,650496.000872824,"621_427,623_426",CRITICAL_RISK_ZONE,94.3209874112957,88.98565459788685,96.81581076151987,14.285714285714285,85.87409937361184,P1_CRITICAL,31,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_29,2,81.56854095472158,81.26968485099192,59.52095277844987,CRITICAL,0,3013600.5044235187,629246.000872824,"409_488,410_491",CRITICAL_RISK_ZONE,91.61430856818474,95.53270578146606,96.35112980048906,14.285714285714285,85.84933389067005,P1_CRITICAL,32,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_19,2,81.87203551492948,79.02310265197332,59.70533170929168,CRITICAL,0,3000650.5044235187,621546.000872824,"331_361,334_359",CRITICAL_RISK_ZONE,92.49523796578212,88.66782405595399,96.96334608717623,14.285714285714285,85.02582984615825,P1_CRITICAL,33,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_102,3,81.44882820526246,77.82474360088862,59.404188460992415,CRITICAL,0,3031250.5044235187,660496.000872824,"720_667,722_666,724_665",CRITICAL_RISK_ZONE,91.26682794054676,85.00599803686283,95.96342272069971,28.57142857142857,84.9192707179364,P1_CRITICAL,34,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_52,3,81.4634417787113,77.74098837855395,59.41518012354753,CRITICAL,0,3017550.5044235187,638262.6675394906,"497_527,501_529,501_531",CRITICAL_RISK_ZONE,91.30924559194128,84.75006718533528,95.99991970440217,28.57142857142857,84.89629673668404,P1_CRITICAL,35,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_64,3,80.46845245272924,80.17795441849871,59.00776635844539,CRITICAL,0,3010083.837756852,642996.000872824,"545_453,546_455,550_455",CRITICAL_RISK_ZONE,88.42116961801682,92.19670485593484,94.6471331290745,28.57142857142857,84.74779343870603,P1_CRITICAL,36,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_84,5,82.3144561557896,71.47512821656404,59.065049695369794,CRITICAL,0,3028850.5044235187,652636.000872824,"642_642,642_646,643_643,645_637,645_642",CRITICAL_RISK_ZONE,93.77941699149703,65.6034768938921,94.83733811432306,57.14285714285714,84.74505326781856,P1_CRITICAL,37,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_51,2,81.10489288267065,80.36631759466172,59.45616220562627,CRITICAL,0,3004250.5044235187,637796.000872824,"495_395,495_397",CRITICAL_RISK_ZONE,90.26851437494047,92.77228625525588,96.13599760655944,14.285714285714285,84.63785954998568,P1_CRITICAL,38,Immediate review and prioritized assessment.
