incident_id,priority_rank,priority_score,priority_level,max_risk_score,historical_hotspot_distance_m,hotspot_id,event_count,hotspot_score,hotspot_category,historical_current_score,historical_current_category,persistent_risk_zone
RISK_ZONE_ISOLATED_219,189,46.5867280786885,P3_MODERATE,70.34176777802631,26.77237786346915,663_3008,1,12.5,LOW,50.138099565080736,STRONG,0
RISK_ZONE_ISOLATED_144,190,46.508920838297705,P3_MODERATE,70.3078036731856,21.27061817714302,643_3005,1,12.5,LOW,50.14800923100137,STRONG,0
RISK_ZONE_ISOLATED_122,191,46.44258676812416,P3_MODERATE,70.27884779064088,370.70645260972464,638_3011,2,25.0,MODERATE,54.46712115658924,STRONG,0
RISK_ZONE_ISOLATED_195,192,46.40521073961615,P3_MODERATE,70.26253255642361,287.39373331931967,658_3048,2,25.0,MODERATE,54.75479605188892,STRONG,0
RISK_ZONE_ISOLATED_204,193,46.24419540347751,P3_MODERATE,70.19224678700026,46.903158468873684,659_3028,1,12.5,LOW,50.00641731081322,STRONG,0
RISK_ZONE_ISOLATED_216,194,45.87447516054196,P3_MODERATE,70.03085798783806,51.75303816688282,663_3010,1,12.5,LOW,49.93090889358696,MODERATE,0
RISK_ZONE_ISOLATED_214,195,45.86486869982642,P3_MODERATE,70.0266646140948,14.361806034721004,662_3013,1,12.5,LOW,50.0770499273639,STRONG,0
RISK_ZONE_ISOLATED_208,196,45.86167619314986,P3_MODERATE,70.02527103387112,511.3813028755598,661_3009,3,37.5,MODERATE,59.52811659783967,STRONG,0
RISK_ZONE_ISOLATED_33,197,45.18138682647671,P3_MODERATE,69.72831384511008,18.821962015863257,618_3010,1,12.5,LOW,49.954904347851695,MODERATE,0
RISK_ZONE_ISOLATED_54,198,45.04583548429612,P3_MODERATE,69.66914351630781,48.33542492251282,623_3005,1,12.5,LOW,49.817709686383395,MODERATE,0
RISK_ZONE_ISOLATED_67,199,44.88257623552959,P3_MODERATE,69.59787824313437,56.9232947565677,628_3001,1,12.5,LOW,49.75912723603746,MODERATE,0
RISK_ZONE_ISOLATED_16,200,44.65674721528714,P3_MODERATE,69.49930026400203,46.204504831315674,615_3015,1,12.5,LOW,49.76662932020072,MODERATE,0
RISK_ZONE_ISOLATED_47,201,44.62773750258757,P3_MODERATE,64.21175368412374,309.5461299524125,621_3005,2,25.0,MODERATE,52.55811533166106,STRONG,0
RISK_ZONE_ISOLATED_165,202,44.46198896970992,P3_MODERATE,69.41428517494151,55.68503150335761,649_3032,1,12.5,LOW,49.69971302059139,MODERATE,0
RISK_ZONE_ISOLATED_12,203,43.619187769024975,P3_MODERATE,69.04638897150124,8.48577566169397,613_3004,1,12.5,LOW,49.75735054648764,MODERATE,0
RISK_ZONE_ISOLATED_66,204,43.61705155007477,P3_MODERATE,69.04545647776386,31.444492305623566,627_3008,1,12.5,LOW,49.665917859411515,MODERATE,0
RISK_ZONE_ISOLATED_220,205,43.59948368713562,P3_MODERATE,69.0377878246193,6.281714566337802,663_3027,1,12.5,LOW,49.76313040869131,MODERATE,0
RISK_ZONE_ISOLATED_34,206,43.39075537215373,P3_MODERATE,68.94667457683333,407.1678000809228,619_3015,2,25.0,MODERATE,53.87530627209859,STRONG,0
