cell_id,label,elevation_m,slope_deg,aspect_deg,elevation_std_m,aspect_sin,aspect_cos,terrain_imputed,road_distance_m,settlement_distance_m,amenity_distance_m,road_density_500m_km_per_km2,settlements_within_1km,amenities_within_1km,near_road_250m,near_settlement_1km,near_amenity_1km,osm_context_available
886_522,1,3392.0,40.80249786376953,254.0546112060547,21.41016387939453,-0.961523981717268,-0.2747210086297932,0,9.469734424823889,1519.5327102220076,3799.556357007144,70.5058554503023,0,0,1,0,0,1
887_524,1,3503.0,22.96857070922852,177.7093505859375,10.187137603759766,0.0399687249607718,-0.9992009312570772,0,8.018802741231378,1738.9929660624523,4017.810437720826,70.5058554503023,0,0,1,0,0,1
887_1019,0,5017.0,27.717409133911133,290.77227783203125,17.726720809936523,-0.9349973830219808,0.3546546119001523,1,2747.356195427192,4161.21741525361,5226.400289159609,0.0,0,0,0,0,0,1
888_520,1,3358.0,42.2036247253418,212.799545288086,21.207963943481445,-0.5417015393441499,-0.8405709025847722,0,21.892340415834955,1513.320914404792,3782.88119774457,70.5058554503023,0,0,1,0,0,1
888_1672,0,4804.0,16.064945220947266,90.0,20.328094482421875,1.0,6.123233995736766e-17,1,3574.45993289895,9956.273099543698,32620.29458482836,0.0,0,0,0,0,0,1
889_524,1,3585.0,38.90003204345703,230.9644927978516,19.236026763916016,-0.7767558113371807,-0.629801881192743,0,14.31692990660387,1865.90857495616,4145.996857994358,70.5058554503023,0,0,1,0,0,1
890_1332,0,5303.0,9.801128387451172,258.6900634765625,3.7712361812591553,-0.9805806618302796,-0.1961162044413742,0,1705.0830825198857,12665.152547595344,9639.992799496662,0.0,0,0,0,0,0,1
892_524,1,3609.0,40.84608459472656,177.7542724609375,19.944366455078125,0.0391853046290834,-0.9992319610086168,0,20.36678145605672,1982.8906058172936,4348.450735153854,70.5058554503023,0,0,1,0,0,1
892_639,1,3885.0,35.19081115722656,114.10223388671876,17.403703689575195,0.9128182562742556,-0.4083660502691518,0,17.799530595188763,1007.4010271311238,978.2355580982688,28.044482675137328,0,1,1,0,1,1
894_251,0,899.0,19.41701316833496,54.78240966796875,8.781293869018555,0.81696788979778,0.5766831600102107,0,236.4186517988873,3481.8581927331475,1502.282989187787,3.076583739958998,0,0,1,0,0,1
897_647,1,3912.0,38.0701789855957,111.5712890625,19.54545211791992,0.9299608365035316,-0.3676585951254941,0,20.141384973390803,1235.150474607661,1248.0335285367455,31.282044949724888,0,0,1,0,0,1
898_1638,0,4731.0,1.372323989868164,45.0,0.6666666865348816,0.7071067811865476,0.7071067811865476,0,264.8989905777152,6870.997747656967,29693.27466384889,13.494551351389465,0,0,0,0,0,1
899_269,0,1031.0,16.981739044189453,93.1798095703125,8.366600036621094,0.9984603731000776,-0.0554696615173873,0,1072.7280195412384,3936.9373437641448,2965.656952520511,0.0,0,0,0,0,0,1
899_1425,0,5161.0,10.931544303894045,74.744873046875,4.969039916992188,0.9647637833512268,0.2631175447092557,0,3882.417287844704,10743.500928233365,12138.674952611796,0.0,0,0,0,0,0,1
903_541,1,3695.0,27.30772590637207,138.99090576171875,12.355835914611816,0.6561788115518402,-0.7546054381399689,0,10.440565819049253,440.569135722741,6347.802695904588,68.20152502181557,1,0,1,1,0,1
906_656,1,3925.0,12.419127464294434,90.0,6.091888427734375,1.0,6.123233995736766e-17,0,56.37161393857881,713.6054811110315,2012.961326707417,31.401829737816797,1,0,1,1,0,1
909_653,1,3963.0,29.82125663757324,235.84030151367188,15.93582820892334,-0.8274757357731101,-0.5615014752489527,0,1.6006447217315871,316.7586050048191,1781.8757844028712,28.044482675137328,1,0,1,1,0,1
909_849,0,4304.0,38.37935256958008,311.5317687988281,18.724777221679688,-0.7485882026492219,0.6630352199200338,0,1373.0476781218133,2164.922970670455,10931.38445995962,0.0,0,0,0,0,0,1
910_140,0,240.0,4.936678409576416,258.6900634765625,2.249828577041626,-0.9805806618302796,-0.1961162044413742,0,48.56210846666517,2281.4392420545287,340.7275419019606,18.014975875844467,0,3,1,0,1,1
911_877,0,4484.0,18.8243465423584,333.4349365234375,8.44298267364502,-0.447213787503503,0.8944270949981176,0,1182.5086174625756,1238.9752625890271,11823.632442024376,0.0,0,0,0,0,0,1
912_1617,0,4883.0,6.482940673828125,296.5650634765625,2.7888667583465576,-0.8944270949981173,0.4472137875035034,0,286.0089329910332,5735.48684657909,28265.024383567168,3.852702683142041,0,0,0,0,0,1
913_280,0,1472.0,22.81989288330078,220.10092163085932,11.0799560546875,-0.6441359338158825,-0.7649110397733457,0,739.6074001394956,2582.182317680947,4123.770257227638,0.0,0,0,0,0,0,1
914_551,1,3778.0,7.776834964752197,187.12503051757807,4.4721360206604,-0.1240349799696529,-0.9922778460410812,0,31.59221747278752,302.28871487706004,7824.635952054296,73.35509084010613,1,0,1,1,0,1
914_1536,0,4869.0,5.641021251678467,239.0362548828125,2.4494898319244385,-0.8574930282141504,-0.5144955845914776,0,972.5657684975058,5408.848614175273,21227.596998423745,0.0,0,0,0,0,0,1
915_1203,0,4681.0,33.45045852661133,67.380126953125,15.874507904052734,0.923076868711018,0.3846155150935306,0,2315.25137523791,5989.3751671745895,13436.31676207954,0.0,0,0,0,0,0,1
917_1139,0,4739.0,25.87686920166016,282.0947570800781,18.097612380981445,-0.9778024140661972,0.2095290887831979,1,1247.2725211838974,1296.4025683634875,12359.718516215964,0.0,0,0,0,0,0,1
918_987,0,4749.0,31.53231430053711,173.6597900390625,14.429906845092772,0.1104318420426104,-0.9938836995660388,0,170.54791644286112,1700.6905554166074,7649.669034991937,5.877087299074433,0,0,1,0,0,1
919_189,0,366.0,3.495080947875977,123.6900634765625,1.5947444438934326,0.8320503335416467,-0.5547001374195202,0,561.3813451708347,2768.5550543228155,2602.4617811164458,0.0,0,0,0,0,0,1
919_555,1,3784.0,4.332224845886231,116.56503295898438,2.403700828552246,0.8944273331984621,-0.4472133111027523,0,17.06014553503759,771.9737003752027,8456.772790994899,5.801560304994249,2,0,1,1,0,1
919_1247,0,5630.0,7.030324935913086,285.9454040527344,3.620926856994629,-0.9615239085546036,0.2747212646991092,0,6729.350731420348,10400.018326592555,15361.468719835995,0.0,0,0,0,0,0,1
919_1636,0,4742.0,0.9704723954200744,0.0,0.6666666865348816,0.0,1.0,0,7.890803532849508,7668.119267747694,30285.92232001917,13.494551351389465,0,0,1,0,0,1
924_413,0,1864.0,16.858070373535156,63.4349365234375,7.733205795288086,0.8944270949981175,0.4472137875035032,0,298.4198335708843,1347.689227272364,4873.517539951247,2.641253491872078,0,0,0,0,0,1
925_376,0,1519.0,41.38069152832031,181.10171508789065,21.674928665161133,-0.0192273708052762,-0.9998151370187972,0,152.47809756107753,1001.6825812072994,2172.6075030148727,24.11906418568446,0,0,1,0,0,1
925_829,0,3914.0,44.56203842163086,356.0548095703125,22.98308563232422,-0.0688021647568177,0.9976303233787432,0,403.0473009329944,1444.5064502030357,8482.24746861251,10.001607549129677,0,0,0,0,0,1
927_907,0,4346.0,26.951923370361328,178.0908203125,12.292725563049316,0.0333153056494118,-0.9994448911318152,0,107.29563921713554,421.9076566229993,9615.836844273836,25.100699652618232,2,0,1,1,0,1
927_1239,0,5553.0,10.029293060302734,196.69924926757807,4.268749237060547,-0.2873479697138953,-0.9578262599768824,0,6092.022206730111,9756.48150550166,15723.478366949535,0.0,0,0,0,0,0,1
931_659,0,4217.0,22.19342613220215,41.633544921875,9.919427871704102,0.6643639116888408,0.747409253920168,0,141.21649143566108,1130.8232469332504,504.9820023535323,47.09553749960217,0,1,1,0,1,1
932_635,1,3850.0,33.415771484375,138.12213134765625,14.86067008972168,0.6675450042442599,-0.7445694509637977,0,28.19000382777251,1606.172907613963,2413.4149614403227,20.574779062000623,0,0,1,0,0,1
932_842,0,3709.0,23.017822265625,94.57391357421876,10.58767032623291,0.9968152892331766,-0.0797450885696311,0,105.92265371422572,742.4844199197013,8701.968709786484,9.491001148929032,1,0,1,1,0,1
934_580,1,4120.0,26.93907165527344,180.0,11.480525016784668,1.2246467991473532e-16,-1.0,0,21.65752109610788,1476.8513270513715,7878.198503046334,25.22038319712892,0,0,1,0,0,1
936_632,1,3819.0,39.74665832519531,273.5035400390625,19.2006950378418,-0.9981310246121092,0.0611102095134743,0,19.485883156416843,1236.4097171950168,2820.967257426465,17.9699393434222,0,0,1,0,0,1
937_490,0,1711.0,17.65447235107422,64.79888916015625,7.302967548370361,0.904818797366792,0.4257968341025004,0,2393.6545274431046,2256.1460814424568,7520.988137390964,0.0,0,0,0,0,0,1
937_628,1,3806.0,13.63312816619873,294.775146484375,7.460182666778564,-0.9079593412344904,0.4190582712046501,0,35.05019711669222,834.4359520348288,3230.783830950028,10.071567269413082,1,0,1,1,0,1
938_1524,0,4959.0,8.87646484375,319.3987121582031,3.4569666385650635,-0.6507912833030712,0.7592566796391992,0,1645.478126168984,8012.915455740557,21707.94579812748,0.0,0,0,0,0,0,1
938_1636,0,4770.0,3.0662660598754883,341.5650634765625,1.196703314781189,-0.3162275623663062,0.948683365934,0,608.3015397904308,8898.91471705151,31097.78238181203,0.0,0,0,0,0,0,1
939_320,0,1949.0,18.474489212036133,59.534454345703125,7.8740081787109375,0.8619342086550715,0.5070201376179803,0,1789.0531218310036,3603.1167676285513,2708.2938550740205,0.0,0,0,0,0,0,1
940_32,0,137.0,3.9952552318573,75.9637451171875,1.49071204662323,0.970142451825584,0.2425358183152424,0,872.1494332567943,651.0472590867372,3786.707018977973,0.0,3,0,0,1,0,1
940_1007,0,4977.0,19.16595268249512,43.02505493164063,8.495460510253906,0.6823181092740899,0.7310553999230367,0,760.816757277898,4671.231301723241,9938.933699874531,0.0,0,0,0,0,0,1
942_891,0,4736.0,24.637191772460938,4.23638916015625,11.085525512695312,0.0738715873667955,0.9972677617269646,0,1807.440323394353,1852.0328255799325,8483.480371581893,0.0,0,0,0,0,0,1
944_107,0,216.0,7.952031135559082,194.0362548828125,3.189488887786865,-0.2425358183152425,-0.970142451825584,0,610.7405625132552,4539.113101094801,2969.959017970259,0.0,0,0,0,0,0,1
945_33,0,142.0,5.212227821350098,248.19859313964844,2.1602468490600586,-0.928476707906966,-0.3713906337998345,0,1337.25635408582,1156.4071753146666,4295.279687140039,0.0,0,0,0,0,0,1
945_584,0,3994.0,11.174756050109863,30.9637451171875,5.077181816101074,0.5144955845914775,0.8574930282141504,0,368.76835147920656,2624.430556230229,6802.250328186064,4.426644874773992,0,0,0,0,0,1
946_1451,0,5068.0,6.115067958831787,71.5650634765625,2.309401035308838,0.948683365934,0.3162275623663065,0,955.9407469498532,6565.007827352084,17499.95666115435,0.0,0,0,0,0,0,1
947_1256,0,6435.0,50.43552017211914,186.4287567138672,72.60828399658203,-0.1119676896074915,-0.9937118478130168,1,7703.022463816208,11966.266736617665,18146.445029542043,0.0,0,0,0,0,0,1
948_1238,0,5874.0,17.65447235107422,295.2011108398437,7.509665012359619,-0.904818797366792,0.4257968341025004,0,5916.573346562511,10341.236075965202,17245.95802029731,0.0,0,0,0,0,0,1
949_926,0,4655.0,25.61410522460937,237.99462890625,10.914935111999512,-0.8479984160653979,-0.5299987607066419,0,1356.8891906005954,2019.085054902028,7406.626303067799,0.0,0,0,0,0,0,1
953_463,0,1903.0,34.68472671508789,248.45904541015625,19.065837860107425,-0.9301553580111848,-0.3671661884802096,0,744.7789846958849,954.4587027435192,7934.673939742167,0.0,1,0,0,1,0,1
954_842,0,3974.0,39.5526008605957,115.51385498046876,19.44793701171875,0.902481153909271,-0.4307293429040918,0,1258.612960994808,1648.735194940037,7209.537601550394,0.0,0,0,0,0,0,1
955_518,0,2494.0,31.93613243103028,317.2026062011719,14.286314010620115,-0.6794079285413251,0.7337607693486927,0,2336.041264204297,3103.9802410310376,7417.988388962653,0.0,0,0,0,0,0,1
957_127,0,229.0,0.9704723954200744,270.0,0.6849348545074463,-1.0,-1.8369701987210292e-16,0,482.4564726493799,4641.15546316135,4203.370472522352,9.229138847566617,0,0,0,0,0,1
957_226,0,367.0,11.214726448059082,109.98309326171876,4.216370105743408,0.939793502579315,-0.3417428455867115,0,83.19920416566364,2550.5895744499044,2999.6466156522706,2.749651783742755,0,0,1,0,0,1
958_779,0,4389.0,32.99371337890625,7.495849609375,15.875286102294922,0.1304543736129865,0.991454313826534,0,1181.4391395536888,1232.97048104624,3930.358822979988,0.0,0,0,0,0,0,1
964_258,0,650.0,31.7258415222168,350.5376892089844,14.1430082321167,-0.1643987907521455,0.9863939565909924,0,158.76641623189806,385.5599229996861,2027.577724761297,17.973299477557838,1,0,1,1,0,1
964_1058,0,5039.0,54.90889739990234,1.363922119140625,31.292329788208008,0.0238026835077656,0.999716675992668,0,1742.3812303178272,2833.5170015273598,11454.41063909437,0.0,0,0,0,0,0,1
965_975,0,4446.0,36.311134338378906,115.97439575195312,18.708948135375977,0.8989898551581492,-0.4379694513578886,0,945.886893841742,2807.7263970008057,7662.391831885387,0.0,0,0,0,0,0,1
966_677,0,4163.0,42.4942512512207,340.5599670410156,20.49932289123535,-0.3328200869714433,0.9429903444406632,0,85.05041232083641,1971.3778712033677,4413.396920755862,20.74740248814993,0,0,1,0,0,1
969_529,0,3033.0,46.70231628417969,241.3895568847656,30.17423439025879,-0.8778957112378469,-0.4788518770874713,1,863.1673216871276,1451.077374036041,5642.226919229172,0.0,0,0,0,0,0,1
